Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,1,1,1,1,1,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Other,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,76,3,3,1,1,1,25,"$5,150",0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Source Analysis,,,,,,,,,,,,
,,,,Channel,Total Leads,MQLs,SQLs,Scheduled,Hired,Total Value,Conversion Rate (%),Schedule Rate (%),MQL Rate (%),SQL Rate (%),,
,,,,Google - Fort Lauderdale,78,26,18,26,0,$0,0.0,33.3,33.3,23.1,,
,,,,Google- Miami,56,13,11,13,0,$0,0.0,23.2,23.2,19.6,,
,,,,LSA- Fort Lauderdale,43,15,11,14,3,"$16,300",7.0,32.6,34.9,25.6,,
,,,,Denise Isaacs,38,26,26,25,7,"$62,575",18.4,65.8,68.4,68.4,,
,,,,Website,34,7,7,7,2,"$11,650",5.9,20.6,20.6,20.6,,
,,,,LSA - Miami,33,8,6,8,0,$0,0.0,24.2,24.2,18.2,,
,,,,LSA - Palm Beach,22,8,6,8,2,$650,9.1,36.4,36.4,27.3,,
,,,,Unassigned,16,1,1,1,0,$0,0.0,6.2,6.2,6.2,,
,,,,Google - Boca Raton,15,6,2,6,0,$0,0.0,40.0,40.0,13.3,,
,,,,Google - Palm Beach,12,7,4,6,0,$0,0.0,50.0,58.3,33.3,,
,,,,Referral-Friend,10,3,2,2,1,"$7,725",10.0,20.0,30.0,20.0,,
,,,,Facebook,8,1,1,1,0,$0,0.0,12.5,12.5,12.5,,
,,,,Referral-Attorney,7,4,4,4,3,"$11,300",42.9,57.1,57.1,57.1,,
,,,,Avvo,6,3,3,3,1,"$7,725",16.7,50.0,50.0,50.0,,
,,,,LSA - Boca,6,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,"Google - Fort Lauderdale",5,3,2,1,0,$0,0.0,20.0,60.0,40.0,,
,,,,Chat GPT,2,1,1,1,0,$0,0.0,50.0,50.0,50.0,,
,,,,Referral-Client,2,1,1,1,0,$0,0.0,50.0,50.0,50.0,,
,,,,YouTube,2,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Associated with Contact Lead,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,"Google - Fort Lauderdale
",1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Mark Shecter,1,1,0,1,0,$0,0.0,100.0,100.0,0.0,,
,,,,TikTok,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,TOTAL,399,135,107,129,19,"$117,925",4.76,32.3,33.83,26.82,,
